Ref,Description,Category,Qty,Unit_Mass_g,Total_Mass_g,Supplier,Supplier_PN_or_Search,Est_Unit_Price_USD,Est_Total_Price_USD,Notes
PRINT-CARGO-WINCH-SPOOL,"cargo_winch_spool.stl — Dyneema winch spool, PETG 4-start helical groove OD=26mm",Printed Part,1,15,15,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,Rev P new (PR #21 2026-05-30); 4-start 0.6mm-pitch groove for Dyneema SK75 0.5mm; hub bore 3mm for N20 shaft; 0.15mm / 40% gyroid
PRINT-CARGO-DOOR-SERVO-BKT,"cargo_door_servo_bracket.stl — Port door SG90 servo bracket, CF-PETG",Printed Part,1,10,10,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,Rev P new (PR #21 2026-05-30); SG90 pocket + 2x M2 screws; 1mm music wire pushrod slot; 0.15mm / 40% gyroid / 4 walls
PRINT-CARGO-RELEASE-BKT,"cargo_release_servo_bracket.stl — Release SG90 servo bracket, CF-PETG",Printed Part,1,10,10,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,Rev P new (PR #21 2026-05-30); mirrors door servo bracket; drives cradle pull-wire release; 2mm PTFE guide tube for wire; 0.15mm / 40% gyroid / 4 walls
PRINT-DRV8833-TRAY,"cargo_drv8833_tray.stl — DRV8833 breakout tray, PETG",Printed Part,1,8,8,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,Rev P new (PR #21 2026-05-30); 23x19mm PCB pocket; 4x snap tabs; JST-PH 2mm cutout; 3mm thermal clearance; 0.20mm / 25% gyroid
PRINT-CARGO-CRADLE,"cargo_cradle_autolatch.stl — Cargo auto-latch cradle, PETG",Printed Part,1,18,18,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,Rev P new (PR #21 2026-05-30); press-to-lock latch 5N hold; 0.5mm SS spring wire; pull-wire release from SERVO-CARGO Ch-B; 50x50x30mm+ payload footprint; 0.20mm / 40% gyroid
PRINT-GPS-RETENTION,"cargo_gps_retention_ring.stl — GPS patch antenna retention ring, PETG",Printed Part,1,5,5,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,Rev P new (PR #21 2026-05-30); 25mm dia opening; 3mm lip catches GPS PCB edge; bonds to door inner face; 0.20mm / 20% gyroid
PRINT-FPV-BEZEL,"cargo_fpv_bezel.stl — FPV camera bezel, PETG, forward cargo bulkhead",Printed Part,1,8,8,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,Rev P new (PR #21 2026-05-30); 28mm FOV cutout for M12 FPV module; 4x M2 mounting screws; camera points down at payload; cable to Cape-B MIPI/USB; 0.20mm / 20% gyroid
PRINT-BATT-TRAY,"battery_tray.stl — 6S LiPo battery tray, CF-PETG; interior 148×56×44mm; adjustable ±20mm keel rail",Printed Part,1,22,22,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,Rev Q new; stations 60-130mm from nose; 3mm wall / 4mm floor; 4x strap anchor slots; 4x 8×2mm vent slots (stainless mesh); 14×10mm XT60/balance exit slot; forward stop rib 4mm; SCAD: battery_tray.scad; 0.15mm / 40% gyroid / 4 walls
PRINT-BELLY-PANEL,"belly_panel.stl — Battery bay belly access panel, PETG; 160×65mm; flush rebate fit",Printed Part,2,6,12,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,Rev Q new; 2mm PETG; 1.5mm rebate locates flush with hull skin; 2x M3 coin-slot screws; EPDM foam tape seal; 1 per face (port+stbd); SCAD: belly_panel.scad; 0.20mm / 15% gyroid / 3 walls
BATT-STRAP-CAM,"16mm silicone cam-buckle strap, 50N rated — battery retention (2 per aircraft)",Hardware,2,8,16,Amazon / AliExpress,16mm silicone strap metal side-release cam buckle 50N,3.00,6.00,Rev Q new; two straps cross battery at 1/3 and 2/3 positions; route through tray anchor slots; 100N combined = 2.7x SF at 5G crash load per BATTERY_MOUNT.md §3.2
BATT-FOAM-SILICONE,"3mm medium-density silicone foam sheet, Shore A 20-30 — battery tray lining",Hardware,1,10,10,Amazon / AliExpress,3mm closed-cell silicone foam sheet Shore A 20-30 200x200mm,5.00,5.00,Rev Q new; bond to tray floor + 4 side walls; pre-compresses ~1mm when strapped = locks vertical vibration; cut to fit tray interior 148×56×44mm
MESH-VENT-SS,"Stainless 0.5mm perforated mesh, 30×10mm strip — battery tray vent covers (4×)",Hardware,1,3,3,Amazon / AliExpress,Stainless perforated mesh sheet 0.5mm thick 1mm holes,4.00,4.00,Rev Q new; 4x 10×4mm strips covering 4 vent slots in tray floor; prevents debris ingestion; bond with CA adhesive to floor underside
SCREW-M3-8-BTN,"M3×8mm stainless button-head cap screw — belly panel fasteners",Hardware,4,0.3,1.2,Amazon / McMaster-Carr,M3×8mm stainless button-head SHCS ISO 7380,0.20,0.80,Rev Q new; 2x per belly panel × 2 panels = 4 total; coin-slot drive in head; finger-tight + 1/4 turn max (PETG boss strips at >0.5 N·m)
SEAL-EPDM-2MM,"2mm closed-cell EPDM foam tape — belly panel rebate dust seal",Hardware,1,2,2,Amazon / AliExpress,2mm closed-cell EPDM foam tape 10mm wide self-adhesive,3.00,3.00,Rev Q new; applied in 1.5mm rebate of belly panel; dust seal (not waterproof); replace if adhesion fails after repeated panel cycles
MAL-PB2-I,PocketBeagle 2 Industrial (AM6254) — Malcolm comms node,GCS,1,13,13,DigiKey,2820-100003007-ND,51.03,51.03,Rev Q1; USB CDC-ECM tether to host PC; same hardware as aircraft CN nodes; Cape-B-2 + Emma mounted; separate from aircraft nodes
MAL-CAPE-B-2,Cape-B-2 (Zoë) PCB — Malcolm radio+logging cape,GCS,1,35,35,JLCPCB (in-house fab),Order with aircraft Cape-B-2 batch,105.00,105.00,Rev Q1; same PCB as aircraft CN; one extra unit from JLCPCB batch; Emma header; SiK+LoRa+WiFi interfaces
MAL-Emma,Emma 49 MHz RCRS sub-module — Malcolm RCRS link,GCS,1,18,18,In-house fab,Order with aircraft Emma batch,32.00,32.00,Rev Q1; KISS AX.25; UART5; same sub-module as aircraft positions
MAL-MICROSD-LOG,64 GB microSD — Malcolm log storage (CPLD write-blocked),GCS,1,2,2,Amazon / Best Buy,Samsung 64GB Class 10 microSD,12.00,12.00,Rev Q1; CPLD enforces write-block on log partition; same spec as aircraft log cards
MAL-ANT-915-OMNI,5 dBi 915 MHz omni rubber duck — bench and portable use (×2),GCS,2,28,56,Amazon / AliExpress,5dBi RP-SMA 915MHz rubber duck antenna,8.00,16.00,Rev Q1; one for SiK UART2 bench use; one for LoRa SPI1 bench use; field use switches to Yagi+splitter
MAL-ANT-915-YAGI,9 dBi 915 MHz Yagi directional — shared SiK+LoRa via RF splitter,GCS,1,180,180,Amazon / Taoglas,9dBi RP-SMA 915MHz Yagi directional antenna ~1.2m boom,28.00,28.00,Rev Q1; shared via MAL-RF-SPLITTER; only one link transmits at a time; gimbal-mounted; EIRP ≤27.5 dBm (FCC compliant)
MAL-ANT-WIFI-PNL,14 dBi 5 GHz flat panel — WiFi directional antenna,GCS,1,220,220,Amazon / Alfa Network,14dBi 5GHz RP-SMA flat panel antenna,22.00,22.00,Rev Q1; MUST use with WL1837MOD Tx=17 dBm (1700 mBm) to stay ≤30 dBm EIRP (FCC Part 15 UNII-3); gimbal-mounted alongside Yagi
MAL-ANT-49MHZ,49 MHz base-loaded ¼-wave whip with 4 ground radials,GCS,1,150,150,AliExpress / in-house cut,49MHz loaded whip SO-239 with ground radial kit,18.00,18.00,Rev Q1; ~0.94 m physical; 4 radials 1.5 m each; ERP ≤18 dBm (FCC Part 95 limit 20 dBm); tripod-mast mounted
MAL-ANT-ZIGBEE,3 dBi 2.4 GHz rubber duck dipole — Zigbee link,GCS,1,15,15,Amazon / AliExpress,3dBi RP-SMA 2.4GHz rubber duck dipole,6.00,6.00,Rev Q1; Zigbee 2.4 GHz link on Cape-B-2; optional directional upgrade to 6 dBi panel in future
MAL-ANT-GPS,u-blox ANN-MB-00 active GNSS patch — GCS operator position fix,GCS,1,20,20,Mouser / DigiKey,u-blox ANN-MB-00-00 or ANN-MB-01-00,12.00,12.00,Rev Q1; 3.3 V; SMA; provides GCS lat/lon/alt to tracker.py via /dev/gnss_gcs
MAL-GPS-MODULE,u-blox M9N/M10Q GNSS breakout — operator position module,GCS,1,5,5,SparkFun / Mouser,SparkFun GPS-17285 M10Q or equiv u-blox M9N USB UART,38.00,38.00,Rev Q1; USB UART to host PC; NMEA GGA output at 10 Hz; symlinked to /dev/gnss_gcs via udev
MAL-RF-SPLITTER,2-way 915 MHz RF splitter — SiK and LoRa share Yagi,GCS,1,25,25,Mini-Circuits / Amazon,Mini-Circuits ZFSC-2-1W-S+ or equiv SMA 2-way 900 MHz splitter,18.00,18.00,Rev Q1; ≥20 dB port-to-port isolation; 3.5 dB insertion loss; only one link transmits at a time; SMA connectors
MAL-GIMBAL-SERVO,DS3218MG digital servo — pan axis and tilt axis,GCS,2,60,120,Amazon / AliExpress,DS3218MG 25kg.cm digital servo metal gear,14.00,28.00,Rev Q1; 25 kg·cm at 6 V; same model as aircraft nacelle tilt servos; pan stage and tilt stage of antenna gimbal
MAL-GIMBAL-ENC,AS5600 12-bit magnetic encoder PCB breakout — pan and tilt axes,GCS,2,3,6,Amazon / AliExpress,AS5600 I2C magnetic encoder module 12-bit,4.00,8.00,Rev Q1; I²C addr 0x36 (fixed); requires TCA9548A mux MAL-TCA9548A for dual-encoder; ANGLE reg 0x0E-0x0F; STATUS bit 5=MD
MAL-GIMBAL-MAG,N42 diametrically magnetised disc magnet 6×2 mm — encoder rotor,GCS,2,1,2,Amazon / K&J Magnetics,N42 diametrically magnetized disc magnet 6mm dia 2mm thick,1.50,3.00,Rev Q1; one per encoder; epoxy to servo output shaft; must be diametric (not axial) for AS5600
MAL-TCA9548A,TCA9548A 1-to-8 I²C mux breakout — encoder address isolation,GCS,1,2,2,Amazon / Adafruit,Adafruit TCA9548A 1-to-8 I2C multiplexer breakout (ID 2717),3.50,3.50,Rev Q1; addr 0x70; pan encoder on ch.0; tilt encoder on ch.1; resolves AS5600 fixed-addr conflict on I²C2 bus
MAL-BRG-6804,6804 thin-section bearing 20×32×7 mm — gimbal pan stage,GCS,1,12,12,Amazon / VXB Bearings,6804-2RS thin section bearing 20x32x7mm,8.00,8.00,Rev Q1; press-fit to pan turret housing; ABEC-3 or better; LubeNote: grease with Mobilux EP2; same OD/ID tolerance as nacelle bearing pockets
MAL-ENCLOSURE,IP65 aluminum project box — Malcolm field enclosure,GCS,1,280,280,Amazon / Hammond Mfg,Hammond 1455N1601 or equiv 145×90×65mm IP65 aluminum enclosure,28.00,28.00,Rev Q1; EPDM gasket; 40mm fan cutout; cable glands for USB/RF/power/servo; PCB standoffs at Cape-B-2 hole pattern 55×35mm
MAL-TRIPOD,Heavy-duty camera tripod / antenna mast — GCS antenna support,GCS,1,1200,1200,Amazon / B&H,Heavy duty aluminum camera tripod 5kg rated 3/8-16 mount,45.00,45.00,Rev Q1; minimum 5 kg load rating; ≥1.5 m extended height; 3/8"-16 × ¼"-20 adapter to gimbal pan base M6 tripod thread
MAL-PWR-5V-BEC,5V 5A DC-DC switching BEC — Malcolm comms node 5V rail,GCS,1,30,30,Pololu,Pololu D24V50F5 5V 5A switching step-down,12.00,12.00,Rev Q1; supplies PB2-I + Cape-B-2 (560 mA typ; 1400 mA peak); input from MAL-FIELD-BATTERY via XT30
MAL-PWR-6V-BEC,6V 2A DC-DC switching BEC — gimbal servo 6V rail,GCS,1,20,20,Pololu,Pololu D24V22F6 6V 2.2A switching step-down,8.00,8.00,Rev Q1; dedicated servo rail for 2× DS3218MG (200 mA typ; 1200 mA peak stall); input from MAL-FIELD-BATTERY
MAL-FIELD-BATTERY,4S 10000 mAh LiPo — Malcolm field power pack,GCS,1,830,830,Amazon / HobbyKing,Tattu 4S 10000mAh 14.8V LiPo XT60 RC battery,65.00,65.00,Rev Q1; ~6.4 h endurance at 560 mA typical load; powers PB2-I + Cape-B-2 + servos + field electronics; XT60 output
